,10,15,20,25,30,35,40,45,50
55.0,1.9193094434008489,1.7078495718561422,2.3883862227592028,2.9386891399999175,2.7967163795367314,2.9834946232340176,2.8755669740759138,2.81763660807212,2.596971583887591
57.5,1.9148163560136717,1.7591592536900515,2.594826215001473,3.2215445702081134,3.0149334463941573,3.216313586002809,3.0705853341672538,2.9988310952591313,2.741924731234706
60.0,1.8758225906980641,1.8022805767376022,2.830303091206791,3.5334595448002837,3.2595043869396614,3.478170555593871,3.287651203755109,3.2058610477564113,2.9040448329264077
62.5,1.8099403662609128,1.8090265024629602,3.059010100750943,3.818268783447262,3.4898579222972113,3.725718139058391,3.4906396999646923,3.411161097024351,3.0622515304243008
65.0,1.7648840989487542,1.8144078915812805,3.314667292774273,4.122154283311099,3.742171936894331,3.997014967021688,3.7128839445544006,3.6421044679409444,3.2420875141060232
67.5,1.6948482523721327,1.8031311252658129,3.5506124717874874,4.382911656024386,3.9742822389288257,4.2509665838298885,3.91193345665442,3.852983267609179,3.407739823036875
70.0,1.5674373643220512,1.7830997011371688,3.789708694701652,4.637476521503225,4.218522269563821,4.522316632369432,4.111885866688582,4.067289322680443,3.576043441067312
72.5,1.4003692484719197,1.780820746402853,3.9757509153512247,4.8121239264353495,4.4100123501710105,4.741645603869053,4.2504113237719725,4.2279484111639,3.6986669322769594
75.0,1.2426249631046133,1.8094617512703253,4.201568887253315,4.988090540074338,4.603068959663164,4.959611340981041,4.383061938644456,4.3852777841854955,3.823540757891325
77.5,1.0966817706926917,1.8458767068753317,4.366598902850172,5.064469873772747,4.704141555705166,5.060049573526797,4.424294556587686,4.437330066258548,3.8740313024112187
80.0,0.9015682094253501,1.828944717360575,4.4787411427223995,5.096169999585644,4.7704663360634,5.112260530566759,4.418343995556913,4.44694585243091,3.896287371418143
